ORIGIN,DESTINATION,ORIGIN_PORT_CODE,DESTINATION_PORT_CODE,SERVICE_VERSION_AND_ROUNDTRIP_IDENTFIERS,ORIGIN_SERVICE_VERSION_AND_MASTER,DESTINATION_SERVICE_VERSION_AND_MASTER,ORIGIN_AT_UTC,OFFERED_CAPACITY_TEU
china_main,north_europe_main,CNNBO,FRLEH,CMA CGM JEAN MERMOZ | 21574.000000000 | v15-s8 | v15-s8 | 2 - 2,OCEAN - NEU5 || CMA - FAL3 | COSCO - AEU6 | EMC - FAL3 | OOCL - LL5 / OCEAN - NEU5 || CMA - FAL3 | COSCO - AEU6 | EMC - FAL3 | HL - FE9 | OOCL - LL5,OCEAN - NEU5 || CMA - FAL3 | COSCO - AEU6 | EMC - FAL3 | OOCL - LL5 / OCEAN - NEU5 || CMA - FAL3 | COSCO - AEU6 | EMC - FAL3 | HL - FE9 | OOCL - LL5,2024-01-02 03:22:00.000,20954
china_main,north_europe_main,CNNBO,DEHAM,EVER APEX | 27379.000000000 | v9-s9 | v9-s9 | 2 - 2,OCEAN - NEU6 || CMA - FAL6 | COSCO - AEU5 | EMC - CEM | OOCL - LL6 / OCEAN - NEU6 || CMA - FAL6 | COSCO - AEU5 | EMC - CEM | OOCL - LL6,OCEAN - NEU6 || CMA - FAL6 | COSCO - AEU5 | EMC - CEM | OOCL - LL6 / OCEAN - NEU6 || CMA - FAL6 | COSCO - AEU5 | EMC - CEM | OOCL - LL6,2023-12-30 14:15:00.000,24004
china_main,north_europe_main,CNNBO,DEHAM,EVER ARIA | 27379.000000000 | v9-s1 | v9-s1 | 2 - 2,OCEAN - NEU6 || CMA - FAL6 | COSCO - AEU5 | EMC - CEM | OOCL - LL6 / OCEAN - NEU6 || CMA - FAL6 | COSCO - AEU5 | EMC - CEM | OOCL - LL6,OCEAN - NEU6 || CMA - FAL6 | COSCO - AEU5 | EMC - CEM | OOCL - LL6 / OCEAN - NEU6 || CMA - FAL6 | COSCO - AEU5 | EMC - CEM | OOCL - LL6,2024-02-14 18:36:00.000,24004
china_main,north_europe_main,CNTXG,DEHAM,COSCO SHIPPING TAURUS | 21718.000000000 | v11-s6 | v11-s6 | 2 - 2,OCEAN - NEU2 || CMA - FAL2 | COSCO - AEU3 | EMC - NE3 | OOCL - LL2 / OCEAN - NEU2 || CMA - FAL2 | COSCO - AEU3 | EMC - NE3 | OOCL - LL2,OCEAN - NEU2 || CMA - FAL2 | COSCO - AEU3 | EMC - NE3 | OOCL - LL2 / OCEAN - NEU2 || CMA - FAL2 | COSCO - AEU3 | EMC - NE3 | OOCL - LL2,2024-02-12 12:32:00.000,20119
china_main,north_europe_main,CNYTN,DEHAM,ONE INTEGRITY | 21524.000000000 | v13-s6 | v13-s6 | 2 - 2,THEA - FE3 || HL - FE3 | HMM - FE3 | ONE - FE3 | YML - FE3 / THEA - FE3 || HL - FE3 | HMM - FE3 | ONE - FE3 | YML - FE3,THEA - FE3 || HL - FE3 | HMM - FE3 | ONE - FE3 | YML - FE3 / THEA - FE3 || HL - FE3 | HMM - FE3 | ONE - FE3 | YML - FE3,2023-11-07 10:35:00.000,24136
china_main,north_europe_main,CNSGH,BEANR,EVER GENTLE | 21581.000000000 | v7-s3 | v7-s3 | 3 - 3,OCEAN - NEU7 || CMA - FAL8 | COSCO - AEU9 | EMC - CES | OOCL - LL7 / OCEAN - NEU7 || CMA - FAL8 | COSCO - AEU9 | EMC - CES | OOCL - LL7,OCEAN - NEU7 || CMA - FAL8 | COSCO - AEU9 | EMC - CES | OOCL - LL7 / OCEAN - NEU7 || CMA - FAL8 | COSCO - AEU9 | EMC - CES | OOCL - LL7,2024-04-06 02:59:00.000,20288
china_main,north_europe_main,CNSGH,NLRTM,TIHAMA | 18878.000000000 | v17-s11 | v17-s11 | 4 - 4,THEA - FE2 || ASC - CEX | HL - FE2 | HMM - FE2 | ONE - FE2 | YML - FE2 / THEA - FE2 || ASC - CEX | HL - FE2 | HMM - FE2 | ONE - FE2 | YML - FE2,THEA - FE2 || ASC - CEX | HL - FE2 | HMM - FE2 | ONE - FE2 | YML - FE2 / THEA - FE2 || ASC - CEX | HL - FE2 | HMM - FE2 | ONE - FE2 | YML - FE2,2023-11-21 01:51:00.000,19870
china_main,north_europe_main,CNXAM,DEHAM,ONE FUTURE | 27442.000000000 | v16-s15 | v16-s15 | 2 - 2,THEA - FE3 || HL - FE3 | HMM - FE3 | ONE - FE3 | YML - FE3 / THEA - FE3 || HL - FE3 | HMM - FE3 | ONE - FE3 | YML - FE3,THEA - FE3 || HL - FE3 | HMM - FE3 | ONE - FE3 | YML - FE3 / THEA - FE3 || HL - FE3 | HMM - FE3 | ONE - FE3 | YML - FE3,2024-04-24 02:33:00.000,15516
china_main,north_europe_main,CNYTN,FRLEH,CMA CGM GRACE BAY | 23437.000000000 | v20-s9 | v20-s9 | 2 - 2,OCEAN - NEU4 || CMA - FAL1 | COSCO - AEU2 | EMC - FAL1 | OOCL - LL4 / OCEAN - NEU4 || CMA - FAL1 | COSCO - AEU2 | EMC - FAL1 | OOCL - LL4,OCEAN - NEU4 || CMA - FAL1 | COSCO - AEU2 | EMC - FAL1 | OOCL - LL4 / OCEAN - NEU4 || CMA - FAL1 | COSCO - AEU2 | EMC - FAL1 | OOCL - LL4,2024-06-02 09:48:00.000,15254
china_main,north_europe_main,CNYTN,BEANR,EUGEN MAERSK | 20966.000000000 | v19-s11 | v19-s11 | 2 - 2,2M - NEUR loop 4 || ML - AE7 | MSC - Condor / 2M - NEUR loop 4 || ML - AE7 | MSC - Condor,2M - NEUR loop 4 || ML - AE7 | MSC - Condor / 2M - NEUR loop 4 || ML - AE7 | MSC - Condor,2023-12-17 21:07:00.000,17816
